id,key,value,type
21107200,highway,motorway_junction,regular
26436291,barrier,toll_booth,regular
26436377,created_by,JOSM,regular
26436386,created_by,JOSM,regular
26436391,created_by,JOSM,regular
26436402,created_by,JOSM,regular
26436408,created_by,JOSM,regular
26436414,created_by,JOSM,regular
26436450,created_by,JOSM,regular
26436451,created_by,JOSM,regular
26436452,created_by,JOSM,regular
26437049,highway,motorway_junction,regular
26440825,created_by,JOSM,regular
26443118,created_by,JOSM,regular
26443120,created_by,JOSM,regular
26443122,created_by,JOSM,regular
26443124,created_by,JOSM,regular
26443126,created_by,JOSM,regular
26443127,created_by,JOSM,regular
26443129,created_by,JOSM,regular
26443130,created_by,JOSM,regular
26443132,created_by,JOSM,regular
26443134,created_by,JOSM,regular
26443135,created_by,JOSM,regular
26443137,created_by,JOSM,regular
26443314,created_by,JOSM,regular
26443315,created_by,JOSM,regular
26443317,created_by,JOSM,regular
26443318,created_by,JOSM,regular
26443319,created_by,JOSM,regular
26443320,created_by,JOSM,regular
26443321,created_by,JOSM,regular
26443323,created_by,JOSM,regular
26443324,created_by,JOSM,regular
26443325,created_by,JOSM,regular
26443327,created_by,JOSM,regular
26443328,created_by,JOSM,regular
26443329,created_by,JOSM,regular
26443330,created_by,JOSM,regular
26443331,created_by,JOSM,regular
26443332,created_by,JOSM,regular
26443333,created_by,JOSM,regular
26443334,created_by,JOSM,regular
26443335,created_by,JOSM,regular
26443336,created_by,JOSM,regular
26443337,created_by,JOSM,regular
26443338,created_by,JOSM,regular
26443339,created_by,JOSM,regular
26443340,created_by,JOSM,regular
26443341,created_by,JOSM,regular
26443342,created_by,JOSM,regular
26443343,created_by,JOSM,regular
26443344,created_by,JOSM,regular
26443347,created_by,JOSM,regular
26443348,created_by,JOSM,regular
26443353,created_by,JOSM,regular
26443354,created_by,JOSM,regular
26443355,created_by,JOSM,regular
26443356,created_by,JOSM,regular
26443357,created_by,JOSM,regular
26443359,created_by,JOSM,regular
26443360,created_by,JOSM,regular
26443361,created_by,JOSM,regular
26443363,created_by,JOSM,regular
26443364,created_by,JOSM,regular
26443365,created_by,JOSM,regular
26443366,created_by,JOSM,regular
26443367,created_by,JOSM,regular
26443368,created_by,JOSM,regular
26443369,created_by,JOSM,regular
26443370,created_by,JOSM,regular
26443371,created_by,JOSM,regular
26443372,created_by,JOSM,regular
26443373,created_by,JOSM,regular
26443374,created_by,JOSM,regular
26443375,created_by,JOSM,regular
26443376,created_by,JOSM,regular
26443377,created_by,JOSM,regular
26443378,created_by,JOSM,regular
26443379,created_by,JOSM,regular
26443380,created_by,JOSM,regular
26443381,created_by,JOSM,regular
26443382,created_by,JOSM,regular
26443383,created_by,JOSM,regular
26443384,created_by,JOSM,regular
26443385,created_by,JOSM,regular
26443386,created_by,JOSM,regular
26443387,created_by,JOSM,regular
26443388,created_by,JOSM,regular
26443389,created_by,JOSM,regular
26443390,created_by,JOSM,regular
26443391,created_by,JOSM,regular
26443392,created_by,JOSM,regular
26443393,created_by,JOSM,regular
26443394,created_by,JOSM,regular
26443395,created_by,JOSM,regular
26443396,created_by,JOSM,regular
26443397,created_by,JOSM,regular
26443398,created_by,JOSM,regular
26443399,created_by,JOSM,regular
26443400,created_by,JOSM,regular
26443401,created_by,JOSM,regular
26443402,created_by,JOSM,regular
26443404,created_by,JOSM,regular
26443405,created_by,JOSM,regular
26443406,created_by,JOSM,regular
26443407,created_by,JOSM,regular
26443409,created_by,JOSM,regular
26443410,created_by,JOSM,regular
26443412,created_by,JOSM,regular
26443413,created_by,JOSM,regular
26443414,created_by,JOSM,regular
26443416,created_by,JOSM,regular
26443418,created_by,JOSM,regular
26443419,created_by,JOSM,regular
26443422,created_by,JOSM,regular
26443423,created_by,JOSM,regular
26443424,created_by,JOSM,regular
26443996,created_by,JOSM,regular
26444002,created_by,JOSM,regular
26444007,created_by,JOSM,regular
26444011,created_by,JOSM,regular
26444016,created_by,JOSM,regular
26444019,created_by,JOSM,regular
26444027,created_by,JOSM,regular
26444038,created_by,JOSM,regular
26444054,created_by,JOSM,regular
26444351,created_by,JOSM,regular
26444354,created_by,JOSM,regular
26444361,created_by,JOSM,regular
26444379,created_by,JOSM,regular
26444386,created_by,JOSM,regular
26444392,created_by,JOSM,regular
26444399,created_by,JOSM,regular
26444403,created_by,JOSM,regular
26444406,created_by,JOSM,regular
26444408,created_by,JOSM,regular
26444412,created_by,JOSM,regular
26444415,created_by,JOSM,regular
26444418,created_by,JOSM,regular
26444421,created_by,JOSM,regular
26444479,created_by,JOSM,regular
26444482,created_by,JOSM,regular
26444486,created_by,JOSM,regular
26444489,created_by,JOSM,regular
26444499,created_by,JOSM,regular
26444518,created_by,JOSM,regular
26444523,created_by,JOSM,regular
26444528,created_by,JOSM,regular
26444557,created_by,JOSM,regular
26444564,created_by,JOSM,regular
26444567,created_by,JOSM,regular
26444569,created_by,JOSM,regular
26444605,created_by,JOSM,regular
26444618,created_by,JOSM,regular
26444639,created_by,JOSM,regular
26444643,created_by,JOSM,regular
26444747,created_by,JOSM,regular
26444752,created_by,JOSM,regular
26444758,created_by,JOSM,regular
26504247,is_in,"Turkey, İstanbul",regular
26504247,name,Bakırköy,regular
26504247,ru,Бакыркёй,name
26504247,place,town,regular
26504247,population,222437,regular
26504247,date,2016,population
26504699,name,Büyükçekmece,regular
26504699,is_in,"Turkey, İstanbul",regular
26504699,place,town,regular
26504699,ru,Бююкчекмедже,name
26504810,is_in,"Turkey, İstanbul",regular
26504810,name,Fatih,regular
26504810,ru,Фатих,name
26504810,place,town,regular
26504810,wikidata,Q732923,regular
26504855,is_in,"Turkey, İstanbul",regular
26504855,name,Küçükçekmece,regular
26504855,ar,كوجك جكمجة,name
26504855,ru,Кючюкчекмедже,name
26504855,place,town,regular
26504855,wikidata,Q639240,regular
26505044,is_in,"Turkey, İstanbul",regular
26505044,name,Zeytinburnu,regular
26505044,ar,زيتون بورنو,name
26505044,place,town,regular
26505044,wikipedia,tr:Zeytinburnu,regular
26505047,name,Üsküdar,regular
26505047,note,FIXME - precise location and place type,regular
26505047,is_in,"Turkey, İstanbul",regular
26505047,place,town,regular
26505047,ru,Ускюдар,name
26505047,id,738329,geonames
26505108,name,Gebze,regular
26505108,is_in,"Turkey, Kocaeli, Gebze",regular
26505108,place,town,regular
26505108,el,Λίβυσσα,name
26505108,ru,Гебзе,name
26505108,old_name,Dakibyza;Libyssa;Gekbuze;Ghviza;Gavize,regular
26505108,wikipedia,tr:Gebze,regular
26505319,name,Güzeltepe,regular
26505319,is_in,"Turkey, Kocaeli, Çayırova",regular
26505319,place,suburb,regular
26505324,name,Hamidiye,regular
26505324,is_in,"Turkey, Kocaeli",regular
26505324,place,village,regular
26505324,created_by,JOSM,regular
26505332,name,Kağıthane,regular
26505332,is_in,"Turkey, Istanbul",regular
26505332,place,town,regular
26505332,ru,Кягытхане,name
26505356,name,Esenyurt,regular
26505356,is_in,"Turkey, İstanbul",regular
26505356,place,town,regular
26505356,ru,Эсеньюрт,name
26505378,name,Kavaklı,regular
26505378,is_in,"Turkey, İstanbul",regular
26505378,place,suburb,regular
26505378,wikidata,Q986366,regular
26505393,name,Boğazköy,regular
26505393,is_in,"Turkey, İstanbul",regular
26505393,place,suburb,regular
26505393,wikidata,Q4952943,regular
26505410,name,Ortaköy,regular
26505410,is_in,"Turkey, İstanbul",regular
26505410,place,suburb,regular
26505410,wikidata,Q2249546,regular
26551308,ref,K5,regular
26551308,name,Dilovası 1,regular
26551308,highway,motorway_junction,regular
26551558,created_by,JOSM,regular
26551562,created_by,JOSM,regular
26551628,created_by,JOSM,regular
26551655,created_by,JOSM,regular
26551657,created_by,JOSM,regular
26551659,created_by,JOSM,regular
26551662,created_by,JOSM,regular
26551664,created_by,JOSM,regular
26551666,created_by,JOSM,regular
26551668,created_by,JOSM,regular
26551671,created_by,JOSM,regular
26551687,created_by,JOSM,regular
26551692,created_by,JOSM,regular
26551881,created_by,JOSM,regular
26551882,created_by,JOSM,regular
26551883,created_by,JOSM,regular
26551884,created_by,JOSM,regular
26551885,created_by,JOSM,regular
26551886,created_by,JOSM,regular
26551887,created_by,JOSM,regular
26551888,created_by,JOSM,regular
26551889,created_by,JOSM,regular
26551892,created_by,JOSM,regular
26551893,created_by,JOSM,regular
26551894,created_by,JOSM,regular
26551895,created_by,JOSM,regular
26551896,created_by,JOSM,regular
26551897,created_by,JOSM,regular
26551900,created_by,JOSM,regular
26551903,created_by,JOSM,regular
26551906,created_by,JOSM,regular
26551908,created_by,JOSM,regular
26551909,created_by,JOSM,regular
26551910,created_by,JOSM,regular
26551911,created_by,JOSM,regular
26551912,created_by,JOSM,regular
26551918,created_by,JOSM,regular
26551919,created_by,JOSM,regular
26551920,created_by,JOSM,regular
26551921,created_by,JOSM,regular
26551922,created_by,JOSM,regular
26551923,created_by,JOSM,regular
26551924,created_by,JOSM,regular
26551925,created_by,JOSM,regular
26551926,created_by,JOSM,regular
26551927,created_by,JOSM,regular
26551928,created_by,JOSM,regular
26551929,created_by,JOSM,regular
26551930,created_by,JOSM,regular
26551999,created_by,JOSM,regular
26552007,created_by,JOSM,regular
26552021,created_by,JOSM,regular
26552025,created_by,JOSM,regular
26552027,created_by,JOSM,regular
26552030,created_by,JOSM,regular
26552134,created_by,JOSM,regular
26552136,created_by,JOSM,regular
26552138,created_by,JOSM,regular
26552140,created_by,JOSM,regular
26552142,created_by,JOSM,regular
26552144,created_by,JOSM,regular
26552146,created_by,JOSM,regular
26552148,created_by,JOSM,regular
26552150,created_by,JOSM,regular
26552152,created_by,JOSM,regular
26552153,created_by,JOSM,regular
26552159,created_by,JOSM,regular
26552161,created_by,JOSM,regular
26552212,created_by,JOSM,regular
26552238,created_by,JOSM,regular
26633277,created_by,JOSM,regular
26633291,created_by,JOSM,regular
26633302,created_by,JOSM,regular
26633360,highway,motorway_junction,regular
26633976,created_by,JOSM,regular
26633979,created_by,JOSM,regular
26633986,created_by,JOSM,regular
27040295,created_by,JOSM,regular
27040296,created_by,JOSM,regular
27412837,railway,level_crossing,regular
27412842,created_by,JOSM,regular
27412852,highway,traffic_signals,regular
27426565,name,Bağcılar,regular
27426565,is_in,"Turkey, İstanbul",regular
27426565,place,town,regular
27426608,created_by,JOSM,regular
27426610,created_by,JOSM,regular
27426611,created_by,JOSM,regular
27434500,created_by,JOSM,regular
27434509,created_by,JOSM,regular
27434514,created_by,JOSM,regular
27434515,created_by,JOSM,regular
27434517,created_by,JOSM,regular
27434523,created_by,JOSM,regular
27434533,created_by,JOSM,regular
27434534,created_by,JOSM,regular
27434539,created_by,JOSM,regular
27434541,created_by,JOSM,regular
27434548,created_by,JOSM,regular
27434554,created_by,JOSM,regular
27434555,created_by,JOSM,regular
27434559,created_by,JOSM,regular
27434560,created_by,JOSM,regular
27434561,created_by,JOSM,regular
27434562,created_by,JOSM,regular
27434563,created_by,JOSM,regular
27434564,created_by,JOSM,regular
27434565,created_by,JOSM,regular
27434566,created_by,JOSM,regular
27434568,created_by,JOSM,regular
27438813,created_by,JOSM,regular
27438816,created_by,JOSM,regular
27438818,created_by,JOSM,regular
27438819,created_by,JOSM,regular
27438821,created_by,JOSM,regular
27438833,created_by,JOSM,regular
27438836,created_by,JOSM,regular
27438837,created_by,JOSM,regular
27438841,created_by,JOSM,regular
27438857,barrier,toll_booth,regular
27441852,created_by,JOSM,regular
27441863,created_by,JOSM,regular
27446809,created_by,JOSM,regular
27446822,highway,priority,regular
27446831,name,Mahmutbey,regular
27446831,highway,motorway_junction,regular
27446899,ref,K18,regular
27446899,name,Mahmutbey Batı,regular
27446899,highway,motorway_junction,regular
27446900,created_by,JOSM,regular
27446922,created_by,JOSM,regular
27456459,name,Bahçeşehir,regular
27456459,is_in,"Turkey, İstanbul",regular
27456459,place,suburb,regular
27456459,wikidata,Q803676,regular
27456460,name,Esenkent Mah.,regular
27456460,is_in,"Turkey, İstanbul",regular
27456460,place,suburb,regular
27456460,wikidata,Q6089053,regular
27463669,created_by,JOSM,regular
27463670,created_by,JOSM,regular
27463671,created_by,JOSM,regular
27463672,created_by,JOSM,regular
27463687,created_by,JOSM,regular
27463689,created_by,JOSM,regular
27607252,source,PGS,regular
27607253,source,PGS,regular
27607254,source,PGS,regular
27607256,source,PGS,regular
27607258,source,PGS,regular
27607263,source,PGS,regular
27607265,source,PGS,regular
27607265,created_by,shp2osm,regular
27607268,source,PGS,regular
27607269,source,PGS,regular
27607269,created_by,shp2osm,regular
27607271,source,PGS,regular
27607272,source,PGS,regular
27607273,source,PGS,regular
27607274,source,PGS,regular
27607275,source,PGS,regular
27607276,source,PGS,regular
27607276,created_by,shp2osm,regular
27607278,source,PGS,regular
27607279,source,PGS,regular
27607280,source,PGS,regular
27607281,source,PGS,regular
27607281,created_by,shp2osm,regular
27607282,source,PGS,regular
27607284,source,PGS,regular
27607285,source,PGS,regular
27607285,created_by,shp2osm,regular
27607287,source,PGS,regular
27607288,source,PGS,regular
27607289,source,PGS,regular
27607289,created_by,shp2osm,regular
27607290,source,PGS,regular
27607290,created_by,shp2osm,regular
27607292,source,PGS,regular
27607295,source,PGS,regular
27607296,source,PGS,regular
27607298,source,PGS,regular
27607299,source,PGS,regular
27607301,source,PGS,regular
27607301,created_by,shp2osm,regular
27607303,source,PGS,regular
27607308,source,PGS,regular
27607309,source,PGS,regular
27607309,created_by,shp2osm,regular
27607310,source,PGS,regular
27607310,created_by,shp2osm,regular
27607311,source,PGS,regular
27607312,source,PGS,regular
27607312,created_by,shp2osm,regular
27607313,source,PGS,regular
27607315,source,PGS,regular
27607318,source,PGS,regular
27607319,source,PGS,regular
27607322,source,PGS,regular
27607323,source,PGS,regular
27607325,source,PGS,regular
27607328,source,PGS,regular
27607328,created_by,shp2osm,regular
27607329,source,PGS,regular
27607330,source,PGS,regular
27607330,created_by,shp2osm,regular
27607331,source,PGS,regular
27607333,source,PGS,regular
27607333,created_by,shp2osm,regular
27607334,source,PGS,regular
27607335,source,PGS,regular
27607336,source,PGS,regular
27607339,source,PGS,regular
27607339,created_by,shp2osm,regular
27607340,source,PGS,regular
27607340,created_by,shp2osm,regular
27607341,source,PGS,regular
27607343,source,PGS,regular
27607344,source,PGS,regular
27607346,source,PGS,regular
27607348,source,PGS,regular
27607349,source,PGS,regular
27607350,source,PGS,regular
27607351,source,PGS,regular
27607351,created_by,shp2osm,regular
27607352,source,PGS,regular
27607353,source,PGS,regular
27607354,source,PGS,regular
27607358,source,PGS,regular
27607360,source,PGS,regular
27607361,source,PGS,regular
27607361,created_by,shp2osm,regular
27607363,source,PGS,regular
27607363,created_by,shp2osm,regular
27607364,source,PGS,regular
27607368,source,PGS,regular
27607371,source,PGS,regular
27607372,source,PGS,regular
27607373,source,PGS,regular
27607373,created_by,shp2osm,regular
27607374,source,PGS,regular
27607374,created_by,shp2osm,regular
27607375,source,PGS,regular
27607376,source,PGS,regular
27607376,created_by,shp2osm,regular
27607377,source,PGS,regular
27607377,created_by,shp2osm,regular
27607381,source,PGS,regular
27607382,source,PGS,regular
27607384,source,PGS,regular
27607384,created_by,shp2osm,regular
27607385,source,PGS,regular
27607386,source,PGS,regular
27607386,created_by,shp2osm,regular
27607387,source,PGS,regular
27607387,created_by,shp2osm,regular
27607389,source,PGS,regular
27607390,source,PGS,regular
27607391,source,PGS,regular
27607393,source,PGS,regular
27607394,source,PGS,regular
27607394,created_by,shp2osm,regular
27607396,source,PGS,regular
27607397,source,PGS,regular
27607398,source,PGS,regular
27607398,created_by,shp2osm,regular
27607399,source,PGS,regular
27607404,source,PGS,regular
27607405,source,PGS,regular
27607406,source,PGS,regular
27607408,source,PGS,regular
27607408,created_by,shp2osm,regular
27607410,source,PGS,regular
27607412,source,PGS,regular
27607413,source,PGS,regular
27607413,created_by,shp2osm,regular
27607414,source,PGS,regular
27607415,source,PGS,regular
27607415,created_by,shp2osm,regular
27607416,source,PGS,regular
27607416,created_by,shp2osm,regular
27607417,source,PGS,regular
27607420,source,PGS,regular
27607422,source,PGS,regular
27607424,source,PGS,regular
27607425,source,PGS,regular
27607427,source,PGS,regular
27607427,created_by,shp2osm,regular
27607428,source,PGS,regular
27607429,source,PGS,regular
27607430,source,PGS,regular
27607432,source,PGS,regular
27607433,source,PGS,regular
27607434,source,PGS,regular
27607434,created_by,shp2osm,regular
27607435,source,PGS,regular
27607436,source,PGS,regular
27607437,source,PGS,regular
27607438,source,PGS,regular
27607439,source,PGS,regular
27607441,source,PGS,regular
27607444,source,PGS,regular
27607448,source,PGS,regular
27607448,created_by,shp2osm,regular
27607449,source,PGS,regular
27607450,source,PGS,regular
27607451,source,PGS,regular
27607451,created_by,shp2osm,regular
27607452,source,PGS,regular
27607455,source,PGS,regular
27607456,source,PGS,regular
27607457,source,PGS,regular
27607459,source,PGS,regular
27607459,created_by,shp2osm,regular
27607460,source,PGS,regular
27607461,source,PGS,regular
27607462,source,PGS,regular
27607464,source,PGS,regular
27607464,created_by,shp2osm,regular
27607467,source,PGS,regular
27607469,source,PGS,regular
27607471,source,PGS,regular
27607471,created_by,shp2osm,regular
27607472,source,PGS,regular
27607473,source,PGS,regular
27607476,source,PGS,regular
27607477,source,PGS,regular
27607480,source,PGS,regular
27607480,created_by,shp2osm,regular
27607482,source,PGS,regular
27607483,source,PGS,regular
27607485,source,PGS,regular
27607486,source,PGS,regular
27607487,source,PGS,regular
27607488,source,PGS,regular
27607489,source,PGS,regular
